title,slug,desc,MRP,discounted price,discount percentage,presale price,presale price percentage,gender,sizes,image,quantity,new_launch,categories
Neon Bone Blitz,neon-bone-blitz,"• Premium MMA shorts engineered for superior comfort,strength,and agility.
• Reinforced stitching and stress points for lasting durability.
• Crafted from premium,quick-drying fabric that keeps you cool and dry during intense sessions.",₹1799.00,₹1499.00,17%,₹1299.00,30%,Male,S|M|L|XL|XXL,./assets/models/Neon Bone Blitz.avif,0,0,male-mma-shorts
Thunder Fang - Grey,thunder-fang-grey,"• Premium MMA shorts engineered for superior comfort,strength,and agility.
• Reinforced stitching and stress points for lasting durability.
• Crafted from premium,quick-drying fabric that keeps you cool and dry during intense sessions.",₹1799.00,₹1499.00,17%,₹1299.00,30%,Male,S|M|L|XL|XXL,./assets/models/Thunder Fang - Grey.avif,0,0,male-mma-shorts
Thunder Fang - Green,thunder-fang-green,"• Premium MMA shorts engineered for superior comfort,strength,and agility.
• Reinforced stitching and stress points for lasting durability.
• Crafted from premium,quick-drying fabric that keeps you cool and dry during intense sessions.",₹1799.00,₹1499.00,17%,₹1299.00,30%,Male,S|M|L|XL|XXL,./assets/models/Thunder Fang - Green.avif,0,0,male-mma-shorts
Neon Bone Blitz - Female,neon-bone-blitz-female,"• Premium MMA shorts engineered for superior comfort,strength,and agility.
• Reinforced stitching and stress points for lasting durability.
• Crafted from premium,quick-drying fabric that keeps you cool and dry during intense sessions.",₹1799.00,₹1499.00,17%,₹1299.00,30%,Female,S,./assets/models/Neon Bone Blitz - Female.avif,0,0,female-mma-shorts
Crimson Eclipse,crimson-eclipse,"• Premium MMA shorts engineered for superior comfort,strength,and agility.
• Reinforced stitching and stress points for lasting durability.
• Crafted from premium,quick-drying fabric that keeps you cool and dry during intense sessions.",₹1799.00,₹1499.00,17%,₹1299.00,30%,Female,S,./assets/models/Crimson Eclipse.avif,0,0,female-mma-shorts
Hyper Nova,hyper-nova,"• Premium MMA shorts engineered for superior comfort,strength,and agility.
• Reinforced stitching and stress points for lasting durability.
• Crafted from premium,quick-drying fabric that keeps you cool and dry during intense sessions.",₹1799.00,₹1399.00,23%,₹1799.00,0%,Male,S|M|L|XL,./assets/models/HyperNovaMale.avif,0,1,male-mma-shorts
Hyper Nova - Female,hyper-nova-female,"• Premium MMA shorts engineered for superior comfort,strength,and agility.
• Reinforced stitching and stress points for lasting durability.
• Crafted from premium,quick-drying fabric that keeps you cool and dry during intense sessions.",₹1799.00,₹1399.00,23%,₹1799.00,0%,Female,S|M|L|XL,./assets/models/HyperNovaFemale.avif,0,1,female-mma-shorts
Untitled - Male,untitled-male,"• Premium MMA shorts engineered for superior comfort,strength,and agility.
• Reinforced stitching and stress points for lasting durability.
• Crafted from premium,quick-drying fabric that keeps you cool and dry during intense sessions.",₹1799.00,₹1399.00,23%,₹1799.00,0%,Male,S|M|L,./assets/models/UntitledMale.avif,0,1,male-mma-shorts
Untitled - Female,untitled-female,"• Premium MMA shorts engineered for superior comfort,strength,and agility.
• Reinforced stitching and stress points for lasting durability.
• Crafted from premium,quick-drying fabric that keeps you cool and dry during intense sessions.",₹1799.00,₹1399.00,23%,₹1799.00,0%,Male,S|M|L,./assets/models/UntitledFemale.avif,0,1,female-mma-shorts
